X,Y,time
108,125,0
108,121,216
107,116,378
103,113,584
99,113,775
95,116,968
92,120,1080
89,124,1192
87,130,1298
87,133,1320
86,137,1371
86,140,1453
87,144,1496
89,148,1738
93,149,1760
97,152,1907
101,155,2024
238,93,13391
238,89,13422
238,86,13447
238,81,13486
237,77,13545
232,75,13673
229,84,13728
224,88,13775
222,83,13854
221,79,13879
220,76,13895
219,73,13911
217,70,13927
216,66,13943
215,61,13951
214,58,13961
213,55,13970
210,50,13989
208,47,14000
204,44,14009
201,43,14023
196,40,14054
192,37,14087
189,36,14103
186,35,14119
182,32,14150
178,26,14191
176,22,14215
177,16,14238
178,11,14247
183,5,14262
186,0,14272
