X,Y,time,button,correct
36,82,0,0,0
106,49,442,0,0
201,57,901,2,1
62,54,1604,1,1
212,48,2168,2,1
71,61,2733,1,1
197,58,3164,2,1
45,67,3757,1,1
181,63,4323,2,1
56,54,4902,1,1
205,56,5351,2,1
38,60,5994,1,1
182,66,6545,2,1
54,56,7092,1,1
182,56,7628,2,1
46,56,8194,1,1
179,63,8654,2,1
53,64,9277,1,1
206,63,9783,2,1
81,54,10239,0,0
213,49,10752,2,1
50,59,11268,1,1
186,48,11820,2,1
83,60,12399,0,0
207,58,12888,2,1
22,83,13524,0,0
58,78,13593,0,0
202,63,14029,2,1
91,56,14449,0,0
197,76,14951,0,0
88,51,15411,0,0
196,72,15885,2,1
71,47,16481,1,1
229,79,16893,0,0
77,56,17455,1,1
202,66,17972,2,1
84,50,18468,0,0
182,66,19119,2,1
72,62,19574,1,1
